	            x	            y	            z
0.0000000000 	22.2553142111 	3.0251000716 	-11.6709937810 
1.0000000000 	-14.9641594210 	3.0283131748 	-16.9810548279 
2.0000000000 	-39.2718254738 	3.0474588791 	-27.8695983707 
3.0000000000 	-52.4501218362 	3.0646269500 	-51.0159930406 
4.0000000000 	-49.4070148576 	3.0815414546 	-77.4765786311 
5.0000000000 	-31.3183474236 	3.1000244373 	-97.0271066244 
6.0000000000 	-5.1734986084 	3.1212918893 	-102.1133433570 
7.0000000000 	18.9252806378 	3.1454838957 	-90.7699915786 
8.0000000000 	31.6663313482 	3.1716105071 	-67.3800723789 
9.0000000000 	28.1265692495 	3.1979342514 	-40.9813457558 
	            9.6737421531 	3.2226414853 	-21.7741612230 
